visit_id	wifi_id	date	indices
v17133	23515	17308	461351;461352;461353;461356;461370;461379;461391;461399;461401;461410;461456;461457;461476;461477;461507;461544;461545;461546;461556
v17390	24031	17222	244258;244259;244262;244293;244333;244347
v17584	24446	17204	169527;169528;169531;169532;169536;169543;169559;169561;169563
v17783	24863	17245	336075;336076;336077;336078;336079;336081;336082;336083;336084;336094;336097;336102;336103;336105;336131;336133;336135;336137;336151
v17805	24919	17320	485434;485435;485436;485437;485454;485478;485479;485480;485481;485484;485582;485583;485584;485587;485590;485598;485627;485674;485677;485700
v17957	25258	17286	423827;423828;423829;423830;423832;423834;423886;423887;423890;423934;424133;424167;424201;424224;424225;424227;424231;424276;424297
v18085	25560	17183	74143;74144;76149
v18333	26133	17272	399628;399629;399631;399632;399648;399654;399656;399657;399660;399663;399670;399697
v18370	26226	17180	62232;62233;62234;62241;62242
v18371	26226	17249	349750;349751
v18372	26226	17341	525239;525240;525258;525259;525260;525317
v18379	26256	17197	134658;134659;134660;134670;134744;134745;134747;134761;134823;134883;134976;134977;134985;134995;135003;135137;135138;135152;135190
v18397	26299	17248	345554;345555;345556;345557;345558;345561;345585;345587;345596;345603;345610;345611;345612;345613;345622;345634;345686;345687
v18482	26504	17214	213709;213710;213712;213713;213714;213715;213719;213727;213740;213743;213744;213746;213755;213757;213761;213771;213802;213823
v18518	26575	17243	330663;330664;330665;330670;330678;330693;330713
v18521	26577	17206	178990;178991;178997;178998;179010;179012;179018;179019;179030;179031;179057;179123;179222;179224;179312;179313;179347
v18754	27118	17169	18296;18297;18298;18299;18301;18307;18309;18326;18344;18346;18355;18357
v18998	27674	17308	461346;461347;461354;461355;461405;461406;461524;461525;461536;461537;461553
v18999	27674	17313	469836;469837;469838;469847;469848
v19077	27864	17218	229978;229979;229980;229981;229984;229985
v19271	28320	17191	108705;108707;108708;108711;108725;108756;108790;108794;108801;108810;108812;108825;108836;108837;108838;108841;108937;108939
v19287	28358	17316	478916;478917;478918;478919;478926;478927;478929;478930;478949
v19356	28493	17205	175590;175591;175592;175611;175613;175615;175623;175631;175637;175676;175689;175690;175713;175714;175717;175734
v19531	28903	17224	255398;255399;255400;255405;255410;255422;255442;255445;255449;255450;255451;255452;255456;255457;255473;255480;255496;255497
v19537	28915	17229	276314;276315;276316;276319;276322;276323;276331;276334;276369
v19538	28915	17259	384389;384390;384393;384396
v19578	29008	17214	212532;212533;212542;212545;212556;212579;212580;212581;212582;212675;212839;212861;212895;212896;212900;212931;212937;212965
v19651	29182	17188	96035;96036;96052;96066;96127;96128;96282;96283;96331;96340;98738;98739;98769;98772
v19749	29441	17241	323783;323784;323785;323786
v19750	29441	17248	346881;346882;346885;346895;346897;346898;346906;346911;346912;346947;346949;346963;346964
v19890	29821	17187	92782;92784;92937;92944;92970;92974;92990;93287;93288;93396;93443;93448;93524;93536;93573;93584;93668
v19910	29878	17180	62875;62876;62882;62883;62946;62974;62975;62990;62991;62995
v19911	29878	17189	103560;103605;103606;103649;103650
v20107	30358	17342	527914;527915;527916;527920;527921;527924;527933;527935;527936;527977;527978;528006;528007;528008;528009
v20319	30907	17203	165591;165592;165648;165656;165707;165752;165753;165759;165760
v20320	30907	17217	225237;225239;225241;225242;225243
v20362	31029	17304	454156;454157;454158;454159;454163;454165;454173;454175;454181;454184;454195
v20363	31029	17323	491087;491088;491089;491090
v20528	31421	17174	40457;40467;40482
v20620	31664	17347	536193;536194;536195;536196;536198
v20753	31975	17228	270629;270630;270631;270632
v20767	32002	17207	185089;185093
v20877	32261	17241	321415;321416;321417;321422;321480;321498;321499;321508;321541;321564;321567;321667;321668;321672;321674;321675;321678
v21169	32977	17232	287298
v21170	32977	17280	415049;415050
v21171	32977	17282	416991;417024;417036
v21172	32977	17317	480679;480734;480764;480765;480766
v21616	34133	17180	61507;61508;61526;61549;61610;61630;61680;61731;61734;61745;61767;61784;61811;61822;61830;61836
v21636	34179	17243	330583;330585;330586;330587;330594;330608;330612;330613;330622;330636;330637;330639;330640;330646;330654
v21833	34638	17214	213155;213156;213157;213158;213194;213195;213198;213394;213402;213403;213407;213415;213431;213432;213450;213463
v22015	35037	17222	244256;244257;244305;244306;244406;244470;244471;244472;244473;244508;244509;244630;244642;244727;244750
v22082	35215	17246	339377;339378;339379;339380;339381;339382;339385;339398;339415;339416;339417;339461;339462;339469;339470
v22182	35492	17313	468315;468326;468349
v22183	35492	17341	525070;525071;525072
v22445	36167	17207	182546;182556;182557;182558;182563;182578;182579;182617;182618;182619;182620;182636;182649
v22519	36353	17216	222980;222981;222989;223002;223005;223007;223008;223269;223271;223280;223282;223324;223325;223328;223329;223330
v22851	37211	17234	292392;292393;292394;292395;292397;292398;292402
v22861	37228	17203	168279;168280;168299;168301;168317
v22862	37228	17222	244248;244249;244250;244251;244290;247407;247408
v22889	37299	17259	382144;382145;382146;382159;382164;382202;382203;382222;382236;382248;382415;382451;382468;382469;382607
v22926	37379	17201	154602;154603;154604;154605;154606;154622;154634;154635;154714
v23007	37621	17222	245584;245585;245586;245605;245606;245607;245656;245657;245658;245682;245748;245866;245895;245896;245897
v23107	37889	17175	45161;45162;45163;45164;45165;45166
v23108	37889	17306	457826;457827;457835;457842;458041;458124
v23438	38735	17243	328024;328025;328026;328027;328029;328032;328034;328064;328066;328068;328081;328092;328199;328200
v23499	38887	17271	398417;398418;398419;398421;398428;398429;398430;398440;398441;398443;398465;398481;398483;398484;398489
v23597	39128	17221	240236;240237;240238;240239;240292;240293;240299;240321;240343;240348;240381;240382;240383;240423;240439
v23623	39217	17228	272592;272593;272594;272617;272620;272621
v23747	39625	17286	422546;422547;422548;422549;422560;422590;422593
v23776	39697	17214	210431;210432;210433;210439;210449;210458;210465;210470;210471;210472;210474;210484;210496;210542
v24190	40786	17205	175661;175662;175663;175665;175668;175682;175718;175749;175760;175767;175782;175866;175867;175883;175944
v24315	41098	17229	274437;274443;274449;274450;274451;274457;274465
v24349	41188	17227	266894;266898;266900;266901;266972;266973;266983;266984;266992;266995;266998;266999;267000;267009;267015
v24583	41863	17222	244919;244920;244926;244955;244956;244963;244992;244994;245012;245021;245025;245038;245089;245103
v24704	42241	17205	174567;174568;174569;174575;174589;174613;174746;174747;174748;174750;174753;175013;175254;175255
v24906	42784	17172	28729;28730;28737;28741;28803;28806;28807;28808;28813;28839;28840;28864;28933
v24943	42892	17211	199859
v24996	43067	17278	410453;410454;410455;410459;410485;410486;410487;410488;410494;410495;410526
v25319	44085	17342	527708;527709;527716;527726;527727;527728;527729;527745;527757;527758
v25553	44833	17182	69405;69406;69407;69408;69801;69802;69803;69806;69819;69820;69822;69829;69834
v25683	45199	17204	169872;169873;169875;169876;169878;169887;169890;169893;169899;170092;170107;170108;170119;170128
v25737	45358	17167	5700;5701;5702;5736;5777;5835;5850;5907
v25864	45704	17303	452011;452012;452016;452027;452028;452029;452033;452036;452054;452057;452058;452059;452065;452067
v25984	46075	17256	370529;370530;370532;370546;370591;370606;370615;370623;370673;370813;370880;371016;371017;371126
v26081	46380	17189	104170
v26082	46380	17328	500989;500992;500993;500994;500995
